@relation data
@attribute "#classes" numeric
@attribute "#atributos" numeric
@attribute "#exemplos" numeric
@attribute "#exemplos/#atributos" numeric
@attribute "%nominais" numeric
@attribute "log(#exs)" numeric
@attribute "log(#exs/#atrs)" numeric
@attribute skewnessesmin numeric
@attribute skewavg numeric
@attribute skewnessesmax numeric
@attribute skewnessesminByskewnessesmax numeric
@attribute kurtosesmin numeric
@attribute kurtavg numeric
@attribute kurtosesmax numeric
@attribute kurtosesminBykurtosesmax numeric
@attribute nominalValuesCountmin numeric
@attribute nominalValuesCountAvg numeric
@attribute nominalValuesCountmax numeric
@attribute nominalValuesCountminBynominalValuesCountmax numeric
@attribute mediasmin numeric
@attribute mediasavg numeric
@attribute mediasmax numeric
@attribute mediasminBymediasmax numeric
@attribute desviosmin numeric
@attribute desviosavg numeric
@attribute desviosmax numeric
@attribute desviosminBydesviosmax numeric
@attribute entropiasmin numeric
@attribute entropiasavg numeric
@attribute entropiasmax numeric
@attribute entropiasminByentropiasmax numeric
@attribute correlsmin numeric
@attribute correlsavg numeric
@attribute correlsmax numeric
@attribute correlsminBycorrelsmax numeric
@attribute correleucmah numeric
@attribute correleucman numeric
@attribute correlmanmah numeric
@attribute "AH-conect.-Y" numeric
@attribute "AH-Dunn-Y" numeric
@attribute "AH-silhueta-Y" numeric
@attribute "AH-conect.-1.5Y" numeric
@attribute "AH-Dunn-1.5Y" numeric
@attribute "AH-silhueta-1.5Y" numeric
@attribute "AH-conect.-2Y" numeric
@attribute "AH-Dunn-2Y" numeric
@attribute "AH-silhueta-2Y" numeric
@attribute "kM-conect.-Y" numeric
@attribute "kM-Dunn-Y" numeric
@attribute "kM-silhueta-Y" numeric
@attribute "kM-conect.-1.5Y" numeric
@attribute "kM-Dunn-1.5Y" numeric
@attribute "kM-silhueta-1.5Y" numeric
@attribute "kM-conect.-2Y" numeric
@attribute "kM-Dunn-2Y" numeric
@attribute "kM-silhueta-2Y" numeric
@attribute budget numeric
@attribute class {"HTUeuc-RFw","HTUmah-SVM"}
@data
2.0,6.0,345.6,57.6,0.0,2.5385737338068557,1.760422483423212,0.0,0.0,0.0,0.0,-2.0093240093240103,-1.6484945880992408,-1.3618543936683511,1.4754323359868204,1.0,1.0,1.0,1.0,1.5,1.9166666666666667,2.5,0.6,0.5005797103396344,0.7621365688334105,1.119330260476577,0.447213595499958,1.3857780868397291,1.6797778550432678,2.0786671302596096,0.6666666666666615,-0.0,0.16666666666666666,1.0,-0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,"HTUeuc-RFw"
2.0,6.0,345.6,57.6,0.0,2.5385737338068557,1.760422483423212,0.0,0.0,0.0,0.0,-2.0093240093240103,-1.6484945880992408,-1.3618543936683511,1.4754323359868204,1.0,1.0,1.0,1.0,1.5,1.9166666666666667,2.5,0.6,0.5005797103396344,0.7621365688334105,1.119330260476577,0.447213595499958,1.3857780868397291,1.6797778550432678,2.0786671302596096,0.6666666666666615,-0.0,0.16666666666666666,1.0,-0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"HTUeuc-RFw"
2.0,6.0,345.6,57.6,100.0,2.5385737338068557,1.760422483423212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,"HTUmah-SVM"
2.0,6.0,345.6,57.6,100.0,2.5385737338068557,1.760422483423212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"HTUmah-SVM"
5.0,3.0,8529.6,2843.2000000000003,0.0,3.930928665180889,3.453807410461226,-0.032367672726920343,0.5303580036351121,1.6421446274788296,-0.019710610250337178,-1.189473441201481,2.1197026055924004,8.724228389808813,-0.1363413918176376,1.0,1.0,1.0,1.0,0.40669247795910424,343.9702105671231,516.2628024760833,7.877625039195903E-4,0.05718776467433128,191.74472958025413,288.76681312049226,1.980413332693769E-4,0.4457202898621257,105.80451982251783,158.4868865096747,0.002812348072942408,-0.005567234068912767,0.33955568062269165,1.0,-0.005567234068912767,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,"HTUeuc-RFw"
5.0,3.0,8529.6,2843.2000000000003,0.0,3.930928665180889,3.453807410461226,-0.032367672726920343,0.5303580036351121,1.6421446274788296,-0.019710610250337178,-1.189473441201481,2.1197026055924004,8.724228389808813,-0.1363413918176376,1.0,1.0,1.0,1.0,0.40669247795910424,343.9702105671231,516.2628024760833,7.877625039195903E-4,0.05718776467433128,191.74472958025413,288.76681312049226,1.980413332693769E-4,0.4457202898621257,105.80451982251783,158.4868865096747,0.002812348072942408,-0.005567234068912767,0.33955568062269165,1.0,-0.005567234068912767,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"HTUeuc-RFw"
5.0,13.0,242.4,18.646153846153847,15.384615384615385,2.3845326154942486,1.2705892631874118,-0.841753875697023,0.3641326384012325,1.9866519309144537,-0.42370475803960517,-1.9993306598089327,0.22142941302715033,4.49172428653883,-0.4451142884706196,5.0,5.0,5.0,1.0,0.1485148514851485,53.67026702670267,246.69306930693068,6.020227965965644E-4,0.35619787492797594,9.665092748161094,51.776917542637015,0.006879472394907553,0.14851485148514862,6.203562631686835,19.004662827362992,0.007814653321358394,-0.3938058059868207,0.13768700665929956,1.0,-0.3938058059868207,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,"HTUmah-SVM"
5.0,13.0,242.4,18.646153846153847,15.384615384615385,2.3845326154942486,1.2705892631874118,-0.841753875697023,0.3641326384012325,1.9866519309144537,-0.42370475803960517,-1.9993306598089327,0.22142941302715033,4.49172428653883,-0.4451142884706196,5.0,5.0,5.0,1.0,0.1485148514851485,53.67026702670267,246.69306930693068,6.020227965965644E-4,0.35619787492797594,9.665092748161094,51.776917542637015,0.006879472394907553,0.14851485148514862,6.203562631686835,19.004662827362992,0.007814653321358394,-0.3938058059868207,0.13768700665929956,1.0,-0.3938058059868207,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"HTUmah-SVM"
2.0,16.0,223.2,13.95,100.0,2.348694190265541,1.1445742076096164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,"HTUmah-SVM"
2.0,16.0,223.2,13.95,100.0,2.348694190265541,1.1445742076096164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"HTUmah-SVM"
