@relation data
@attribute "#classes" numeric
@attribute "#exemplos/#atributos" numeric
@attribute "%nominais" numeric
@attribute budget numeric
@attribute class {"multilabel1.0,2.0,3.0,4.0","multilabel1.0,2.0,4.0,3.0","multilabel1.0,2.5,2.5,4.0","multilabel1.0,3.0,2.0,4.0","multilabel1.0,3.0,4.0,2.0","multilabel1.0,3.5,3.5,2.0","multilabel1.0,4.0,2.0,3.0","multilabel1.0,4.0,2.5,2.5","multilabel1.0,4.0,3.0,2.0","multilabel2.0,1.0,3.0,4.0","multilabel2.0,1.0,4.0,3.0","multilabel2.0,2.0,4.0,2.0","multilabel2.0,3.0,1.0,4.0","multilabel2.0,3.0,4.0,1.0","multilabel2.0,4.0,1.0,3.0","multilabel2.0,4.0,3.0,1.0","multilabel2.5,1.0,2.5,4.0","multilabel3.0,2.0,4.0,1.0","multilabel3.0,4.0,1.0,2.0","multilabel4.0,1.0,2.0,3.0","multilabel4.0,2.0,1.0,3.0","multilabel4.0,2.0,3.0,1.0","multilabel4.0,3.0,1.0,2.0","multilabel4.0,3.0,2.0,1.0"}
@data
3.0,48.34285714285714,0.0,0,"multilabel2.0,4.0,1.0,3.0"
5.0,2333.866666666667,0.0,0,"multilabel4.0,3.0,2.0,1.0"
3.0,46.666666666666664,33.333333333333336,0,"multilabel1.0,3.0,2.0,4.0"
2.0,47.054545454545455,0.0,0,"multilabel1.0,2.0,4.0,3.0"
6.0,63.53333333333333,0.0,0,"multilabel1.0,3.0,2.0,4.0"
3.0,125.0,0.0,0,"multilabel1.0,4.0,2.5,2.5"
2.0,16.615384615384617,0.0,0,"multilabel1.0,4.0,3.0,2.0"
4.0,126.9,0.0,0,"multilabel1.0,2.5,2.5,4.0"
2.0,771.04,0.0,0,"multilabel2.0,3.0,1.0,4.0"
2.0,20.526829268292683,0.0,0,"multilabel2.0,3.0,1.0,4.0"
10.0,555.7714285714286,0.0,0,"multilabel1.0,3.0,2.0,4.0"
10.0,20.989473684210527,0.0,0,"multilabel1.0,2.0,3.0,4.0"
3.0,100.0,0.0,0,"multilabel3.0,2.0,4.0,1.0"
5.0,286.25454545454545,0.0,0,"multilabel2.0,1.0,4.0,3.0"
30.0,18.133333333333333,0.0,0,"multilabel2.0,4.0,3.0,1.0"
10.0,48.34285714285714,0.0,0,"multilabel2.0,2.0,4.0,2.0"
