Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
1.0,1.0,-0.7494736909866333,-0.18142859637737274,0.0,-0.5384615063667297,-0.25,-0.8887718915939331,-1.0,-1.0,-1.0,1.0,0.0,-0.8999999761581421,-0.9757599830627441
1.0,-1.0,-0.7317293286323547,-0.5,0.0,0.07692307978868484,-0.25,-0.9884210824966431,-1.0,-1.0,-1.0,-1.0,0.0,-0.8399999737739563,-1.0
1.0,-1.0,-0.5239098072052002,-0.875,-1.0,-0.5384615063667297,-0.25,-0.9122806787490845,-1.0,-1.0,-1.0,1.0,0.0,-0.7200000286102295,-1.0
0.0,-1.0,-0.7618045210838318,-0.1785714030265808,-1.0,-0.38461539149284363,-0.5,-1.0,1.0,1.0,-0.6716418266296387,1.0,0.0,-1.0,-1.0
0.0,1.0,-0.8069173097610474,-0.4164285957813263,0.0,-0.23076920211315155,-0.25,-0.8624560832977295,1.0,1.0,-0.5820896029472351,-1.0,0.0,-0.9399999976158142,-0.9968400001525879
0.0,-1.0,-0.9374436140060425,-0.958214282989502,0.0,0.07692307978868484,0.75,-0.8947368264198303,1.0,1.0,-0.9402984976768494,-1.0,0.0,-0.8999999761581421,-1.0
1.0,1.0,-0.8896241188049316,-0.535714328289032,0.0,-0.692307710647583,-0.25,-0.9912281036376953,-1.0,-1.0,-1.0,-1.0,0.0,-0.9399999976158142,-0.9980000257492065
0.0,-1.0,0.3509773910045624,-0.6814286112785339,0.0,0.5384615063667297,0.75,-0.7866666913032532,1.0,1.0,-0.8208954930305481,-1.0,0.0,-0.9570000171661377,-0.9887999892234802
1.0,1.0,-0.5765414237976074,-0.9285714030265808,-1.0,-0.8461537957191467,0.75,-0.7894737124443054,-1.0,-1.0,-1.0,-1.0,0.0,-0.8240000009536743,-0.9892600178718567
1.0,-1.0,0.2631579041481018,-0.4942857027053833,0.0,-0.5384615063667297,0.75,-0.5263158082962036,1.0,1.0,-0.9104477763175964,1.0,0.0,-0.8999999761581421,-0.9990000128746033
0.0,1.0,-0.406015008687973,-0.875,0.0,1.0,0.75,-0.684210479259491,1.0,1.0,-0.8805969953536987,1.0,0.0,-0.746999979019165,-0.9828600287437439
