Row,z_1,z_2
0,-0.2710075108912427,-3.0174955764821547
1,-0.5100170370933466,-2.7474970997764907
2,-0.6556139377396987,-2.6635714400031922
3,-0.9043583701972701,-2.355390170990746
4,-1.0423115232879987,-2.0128294328732843
5,-1.0674841659136793,-1.9408524625801489
6,-1.0854148903058196,-1.8776912207576577
7,-1.0983446643958281,-1.015507285155183
8,-1.062944521756136,-0.6968686427013803
9,-0.9695098940571899,-0.16072881479696183
10,-0.9199678504263906,0.07793197152281205
11,-0.5961294063336595,0.5929030858587717
12,-0.5119586297632883,0.6951632933254693
13,-0.21810777004373733,1.035934934221962
14,-0.18194662716306437,1.1020407726045098
15,-0.04931475888391111,1.611406895122077
16,0.022962145386920756,1.7112269612731446
17,0.32537852862876077,2.156660702525797
18,0.4753143417959793,2.298265562710764
19,0.6344370576841192,2.3799214625288125
20,0.884629237993267,2.312073888821223
21,1.0158517012676664,2.1597473209145126
22,1.3689853118828832,1.7049945807287998
23,1.401461482160326,1.429814542786162
24,1.4974810391421896,1.1917045186387232
25,1.6157114699951782,0.5426536465083849
26,1.5341320402494654,-0.03269834506824997
27,1.3992558420657057,-0.45363171153725923
28,1.3716220923515134,-0.6658160337955388
29,1.356483875293178,-0.8447040276868354
30,1.2096643419982849,-1.0868570153825228
31,1.1074791834325524,-1.3557395849952594
32,1.0596432874795478,-1.5826542455165589
33,1.069203548820222,-1.6847008415797722
34,1.0537478594119751,-2.0847193854187567
35,0.6605848185706916,-2.4392348680573064
36,0.4104205139364235,-2.8491167596509084
37,-0.0839072292233871,-3.011329030235593
